transaction_id,customer_id,timestamp,amount,transaction_type,merchant_category,location,account_age_days,customer_avg_amount,customer_transaction_count
TX00091,C0435,2026-01-01 01:46:00,3060.56,BANK_TRANSFER,Pharmacy,Delhi,210,2267.54,13
TX00836,C0419,2026-01-01 01:59:00,571.85,BANK_TRANSFER,Grocery,Pune,3613,1466.87,5
TX01440,C0328,2026-01-01 04:16:00,2693.93,CARD,Pharmacy,Hyderabad,2423,10347.89,9
TX00957,C0261,2026-01-01 06:40:00,708.86,UPI,Pharmacy,Bengaluru,3326,1835.09,8
TX02345,C0065,2026-01-01 11:19:00,2588.91,ATM,Electronics,Jaipur,271,1912.83,5
TX01032,C0313,2026-01-01 11:55:00,663.77,BANK_TRANSFER,Pharmacy,Bengaluru,1693,1185.52,7
TX00156,C0427,2026-01-01 14:44:00,1534.98,BANK_TRANSFER,Grocery,Dehradun,2595,925.21,8
TX00116,C0222,2026-01-01 15:28:00,2639.69,BANK_TRANSFER,Online Shopping,Dehradun,1002,979.34,6
TX02778,C0477,2026-01-01 16:08:00,699.08,CARD,Restaurant,Dehradun,1871,2005.42,8
TX01460,C0108,2026-01-01 17:07:00,1560.36,UPI,Utilities,Mumbai,367,968.62,7
TX00263,C0484,2026-01-01 17:34:00,1229.68,ATM,Online Shopping,Mumbai,65,1039.11,2
TX01713,C0426,2026-01-01 17:49:00,975.17,ATM,Restaurant,Chandigarh,3474,1054.76,4
TX01829,C0027,2026-01-01 17:50:00,1132.35,UPI,Grocery,Mumbai,1245,1889.01,6
TX01537,C0293,2026-01-01 19:11:00,353.74,ATM,Electronics,Mumbai,3427,1099.67,13
TX01904,C0444,2026-01-01 19:42:00,310.84,UPI,Restaurant,Jaipur,3005,1403.58,8
TX02317,C0077,2026-01-01 19:43:00,450.28,ATM,Travel,Chandigarh,2586,1233.34,5
TX01486,C0108,2026-01-20 13:07:00,1604.42,UPI,Utilities,Pune,367,968.62,7
TX00451,C0289,2026-01-01 21:14:00,378.2,ATM,Grocery,Pune,638,1001.91,11
TX01557,C0198,2026-01-01 22:08:00,311.04,BANK_TRANSFER,Grocery,Chandigarh,2759,732.62,6
TX02738,C0253,2026-01-02 00:30:00,1033.23,CARD,Online Shopping,Bengaluru,728,10045.62,6
TX00317,C0301,2026-01-02 02:00:00,4145.73,BANK_TRANSFER,Restaurant,Dehradun,2480,1291.26,8
TX02367,C0330,2026-01-02 03:04:00,4220.3,CARD,Electronics,Dehradun,1046,1364.96,9
TX01071,C0182,2026-01-02 03:15:00,1616.39,BANK_TRANSFER,Pharmacy,Hyderabad,1787,1589.53,4
TX00047,C0145,2026-01-02 04:16:00,2518.29,ATM,Restaurant,Pune,809,1571.04,11
TX00682,C0239,2026-01-02 07:10:00,3906.0,BANK_TRANSFER,Grocery,Delhi,3334,1895.07,10
TX02788,C0151,2026-01-02 07:54:00,2630.39,CARD,Utilities,Dehradun,1781,1515.67,7
TX02491,C0170,2026-01-02 09:38:00,22533.94,UPI,Online Shopping,Pune,236,4991.01,7
TX00950,C0365,2026-01-02 11:13:00,2159.93,CARD,Utilities,Mumbai,1914,2345.72,10
TX00830,C0273,2026-01-02 11:38:00,517.05,CARD,Utilities,Bengaluru,865,952.51,7
TX00433,C0035,2026-05-26 17:07:00,1927.4,CARD,Travel,Hyderabad,777,1287.79,5
TX02563,C0042,2026-01-02 14:26:00,1129.01,CARD,Online Shopping,Pune,2777,1178.43,11
TX02360,C0102,2026-01-02 14:36:00,12425.37,UPI,Electronics,Hyderabad,485,3389.17,7
TX02379,C0117,2026-01-02 14:48:00,1281.89,CARD,Grocery,Chandigarh,3142,846.39,11
TX00251,C0052,2026-01-02 15:00:00,4807.7,CARD,Travel,Chandigarh,2909,1775.83,4
TX01021,C0267,2026-01-02 15:03:00,42358.9,BANK_TRANSFER,Travel,Dehradun,1737,6714.52,8
TX02682,C0449,2026-01-02 23:43:00,663.82,ATM,Online Shopping,Dehradun,157,1648.9,5
TX02323,C0381,2026-01-03 00:00:00,1060.75,CARD,Electronics,Bengaluru,1949,1054.04,8
