transaction_id,customer_id,timestamp,amount,transaction_type,merchant_category,location,previous_location,customer_avg_amount,amount_deviation_ratio,transactions_last_10min,transactions_last_1hr,risk_reasons,anomaly_score,risk_score,risk_level,score_breakdown,investigation_rationale,recommended_action
TX01528,C0003,2026-01-29 05:34:00,52881.06,ATM,Restaurant,Dehradun,Bengaluru,10038.436666666666,5.267858109380246,1,1,HIGH_AMOUNT;HIGH_AMOUNT_DEVIATION,-0.09074396929848072,65,HIGH,HIGH_AMOUNT (+25); HIGH_AMOUNT_DEVIATION (+20); ISOLATION_FOREST_ANOMALY (+20),"Transaction amount of ₹52,881.06 is unusually high. Transaction amount is 5.3x the customer's average transaction amount. Isolation Forest identified the transaction as statistically unusual.",Escalate for detailed review
TX02923,C0010,2026-04-23 01:27:00,77154.91,ATM,Grocery,Delhi,Bengaluru,12015.848571428573,6.42109540090742,1,1,HIGH_AMOUNT;HIGH_AMOUNT_DEVIATION,-0.13984108068427015,65,HIGH,HIGH_AMOUNT (+25); HIGH_AMOUNT_DEVIATION (+20); ISOLATION_FOREST_ANOMALY (+20),"Transaction amount of ₹77,154.91 is unusually high. Transaction amount is 6.4x the customer's average transaction amount. Isolation Forest identified the transaction as statistically unusual.",Escalate for detailed review
TX02907,C0021,2026-06-21 11:35:00,38232.27,BANK_TRANSFER,Electronics,Jaipur,Bengaluru,11475.99,3.331500811694677,1,1,HIGH_AMOUNT,-0.04461453199663168,45,MEDIUM,HIGH_AMOUNT (+25); ISOLATION_FOREST_ANOMALY (+20),"Transaction amount of ₹38,232.27 is unusually high. Isolation Forest identified the transaction as statistically unusual.",Request additional verification
TX00853,C0035,2026-05-26 17:01:00,910.22,CARD,Grocery,Dehradun,Pune,1287.79,0.7068077869839027,2,2,RAPID_LOCATION_CHANGE,-0.006196244021578812,35,MEDIUM,RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),Location changed from Pune to Dehradun at the same transaction timestamp. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX00175,C0035,2026-05-26 17:04:00,1169.09,BANK_TRANSFER,Online Shopping,Chandigarh,Dehradun,1287.79,0.9078265866329137,3,3,HIGH_VELOCITY;RAPID_LOCATION_CHANGE,-0.07176717452648862,55,MEDIUM,HIGH_VELOCITY (+20); RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),3 transactions occurred within a 10-minute window. Location changed from Dehradun to Chandigarh within 3 minutes. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX00433,C0035,2026-05-26 17:07:00,1927.4,CARD,Travel,Hyderabad,Chandigarh,1287.79,1.4966725941341368,4,4,HIGH_VELOCITY;RAPID_LOCATION_CHANGE,-0.12108360552728703,55,MEDIUM,HIGH_VELOCITY (+20); RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),4 transactions occurred within a 10-minute window. Location changed from Chandigarh to Hyderabad within 3 minutes. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX01657,C0037,2026-05-21 00:27:00,50142.93,CARD,Grocery,Bengaluru,Chandigarh,13505.1125,3.7128850277996577,1,1,HIGH_AMOUNT,-0.0838681042049062,45,MEDIUM,HIGH_AMOUNT (+25); ISOLATION_FOREST_ANOMALY (+20),"Transaction amount of ₹50,142.93 is unusually high. Isolation Forest identified the transaction as statistically unusual.",Request additional verification
TX00268,C0039,2026-02-19 23:18:00,728.63,CARD,Utilities,Chandigarh,Hyderabad,2219.726153846154,0.3282522029744487,2,2,RAPID_LOCATION_CHANGE,-0.017126579045696033,35,MEDIUM,RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),Location changed from Hyderabad to Chandigarh at the same transaction timestamp. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX01472,C0039,2026-02-19 23:21:00,7197.32,CARD,Restaurant,Dehradun,Chandigarh,2219.726153846154,3.242436003886827,3,3,HIGH_VELOCITY;RAPID_LOCATION_CHANGE,-0.11293249618217349,55,MEDIUM,HIGH_VELOCITY (+20); RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),3 transactions occurred within a 10-minute window. Location changed from Chandigarh to Dehradun within 3 minutes. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX00112,C0039,2026-02-19 23:24:00,2463.05,BANK_TRANSFER,Online Shopping,Bengaluru,Dehradun,2219.726153846154,1.1096188580434732,4,4,HIGH_VELOCITY;RAPID_LOCATION_CHANGE,-0.12417001939801053,55,MEDIUM,HIGH_VELOCITY (+20); RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),4 transactions occurred within a 10-minute window. Location changed from Dehradun to Bengaluru within 3 minutes. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX01593,C0054,2026-03-24 01:18:00,1016.87,CARD,Travel,Hyderabad,Pune,1051.872,0.9667240881019743,2,2,RAPID_LOCATION_CHANGE,-0.020315038470675506,35,MEDIUM,RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),Location changed from Pune to Hyderabad within 3 minutes. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX01169,C0054,2026-03-24 01:21:00,571.37,ATM,Pharmacy,Jaipur,Hyderabad,1051.872,0.5431934684068023,3,3,HIGH_VELOCITY;RAPID_LOCATION_CHANGE,-0.07117894694773841,55,MEDIUM,HIGH_VELOCITY (+20); RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),3 transactions occurred within a 10-minute window. Location changed from Hyderabad to Jaipur within 3 minutes. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
TX00024,C0060,2026-05-28 19:19:00,613.77,UPI,Pharmacy,Jaipur,Delhi,1353.9957142857145,0.45330276419950677,2,2,RAPID_LOCATION_CHANGE,-0.0050111858517404295,35,MEDIUM,RAPID_LOCATION_CHANGE (+15); ISOLATION_FOREST_ANOMALY (+20),Location changed from Delhi to Jaipur at the same transaction timestamp. Isolation Forest identified the transaction as statistically unusual.,Request additional verification
